id,name,lat_start,lng_start,lat_end,lng_end,sidewalk_width_m,slope_percent,has_curb_ramp,traffic_level,lighting_quality,surface_quality
block_1,Near CST Station,18.9398,72.8355,18.9405,72.8362,0.9,9,no,high,poor,broken
block_2,Marine Lines,18.9491,72.8277,18.9497,72.8285,1.3,5,yes,medium,good,smooth
block_3,Churchgate,18.9353,72.8302,18.9359,72.8310,1.8,3,yes,low,good,smooth
block_4,Kalbadevi Street,18.9490,72.8360,18.9496,72.8368,0.7,7,no,high,poor,broken
block_5,Fort Area Lane,18.9325,72.8350,18.9332,72.8357,1.1,6,no,medium,good,uneven
block_6,Hampankatta Link A,12.8704,74.8426,12.8711,74.8434,1.1,6,no,high,poor,uneven
block_7,Hampankatta Link B,12.8712,74.8436,12.8719,74.8444,1.5,3,yes,medium,good,smooth
block_8,Central Market Road A,12.8691,74.8468,12.8698,74.8476,0.9,7,no,high,poor,broken
block_9,Central Market Road B,12.8699,74.8478,12.8706,74.8486,1.2,5,no,medium,good,uneven
block_10,Clock Tower Approach A,12.8708,74.8490,12.8715,74.8498,1.6,3,yes,medium,good,smooth
block_11,Clock Tower Approach B,12.8716,74.8500,12.8723,74.8508,1.0,8,no,high,poor,broken
block_12,Ladyhill Road A,12.8931,74.8418,12.8939,74.8425,1.4,4,yes,medium,good,smooth
block_13,Ladyhill Road B,12.8940,74.8427,12.8948,74.8434,1.0,6,no,medium,good,uneven
block_14,Kadri Park Lane A,12.8886,74.8572,12.8893,74.8580,1.7,2,yes,low,good,smooth
block_15,Kadri Park Lane B,12.8894,74.8582,12.8901,74.8590,1.3,5,yes,medium,good,uneven
block_16,Kadri Temple Road A,12.8827,74.8603,12.8834,74.8611,1.1,7,no,high,poor,broken
block_17,Kadri Temple Road B,12.8835,74.8613,12.8842,74.8621,1.2,6,no,medium,poor,uneven
block_18,Bejai Cross Road A,12.8850,74.8459,12.8857,74.8467,1.4,4,yes,medium,good,smooth
block_19,Bejai Cross Road B,12.8858,74.8469,12.8865,74.8477,1.0,8,no,high,poor,broken
block_20,KS Rao Road A,12.8684,74.8551,12.8691,74.8559,1.5,3,yes,high,good,uneven
block_21,KS Rao Road B,12.8692,74.8561,12.8699,74.8569,1.1,6,no,high,poor,broken
block_22,Bunder Port Road A,12.8672,74.8316,12.8679,74.8324,0.8,7,no,high,poor,broken
block_23,Bunder Port Road B,12.8680,74.8326,12.8687,74.8334,1.0,6,no,high,poor,uneven
block_24,Car Street North A,12.8731,74.8396,12.8738,74.8404,1.2,5,no,medium,good,uneven
block_25,Car Street North B,12.8739,74.8406,12.8746,74.8414,1.6,2,yes,medium,good,smooth
block_26,Car Street South A,12.8718,74.8389,12.8725,74.8397,1.0,7,no,high,poor,broken
block_27,Car Street South B,12.8726,74.8399,12.8733,74.8407,1.3,5,yes,medium,good,uneven
block_28,Balmatta Road A,12.8720,74.8534,12.8727,74.8542,1.4,4,yes,high,good,uneven
